red,green,blue,Morph
79.56,47.75,47.79,FrogControl
43.68,30.79,31.76,FrogControl
39.77,27.76,27.95,FrogControl
37.91,31.92,31.31,FrogControl
40.55,28.09,27.14,FrogControl
38.98,28.13,26.8,FrogControl
47.24,30.24,29.94,FrogControl
49.38,40.33,40.93,FrogControl
52.76,33.17,33.11,FrogControl
31.43,24.77,24.71,FrogControl
67.75,43.41,44.49,ModelControl
70.52,44.7,46.33,ModelControl
41,30.64,30.13,ModelControl
45,32.9,32.69,ModelControl
60,45.05,43.57,ModelControl
39.25,31.8,30.68,ModelControl
63,40,39,ModelControl
65,44,42,ModelControl
55,35,36,ModelControl
66,42,41,ModelControl
206.94,140.55,75.16,FrogYellow
191.3,129.667,87.024,FrogYellow
198.834,140.834,98.513,FrogYellow
169.667,123.667,83.111,FrogYellow
118.667,62.417,42.75,FrogYellow
143.222,66.237,48.904,FrogYellow
203.259,127.852,78.481,FrogYellow
219.231,139.919,75.173,FrogYellow
217.86,160.396,86.879,FrogYellow
158.443,107.771,53.457,FrogYellow
211,150,82,ModelYellow
211,112,80,ModelYellow
195,120,80,ModelYellow
202,117,75,ModelYellow
160,110,62,ModelYellow
197,112,75,ModelYellow
184,120,75,ModelYellow
173,105,74,ModelYellow
155,101,72,ModelYellow
185,95,68,ModelYellow
155,25,36,FrogRed
160,28,45,FrogRed
161,28,37,FrogRed
161,26,44,FrogRed
150,25,33,FrogRed
149,26,34,FrogRed
148,27,30,FrogRed
148,27,30,FrogRed
145,29,33,FrogRed
155,32,36,FrogRed
209,40,49,ModelRed
205,41,50,ModelRed
185,33,47,ModelRed
200,38,43,ModelRed
202,39,45,ModelRed
175,33,39,ModelRed
203,39,46,ModelRed
202,36,49,ModelRed
204,32,50,ModelRed
199,35,48,ModelRed
